X,Y,Z
# Scan parameters: Height: 20cm, Layer height: 0.50cm
# Data points below:
7.013,0.000,0.000
7.059,0.028,0.000
7.104,0.056,0.000
7.161,0.084,0.000
7.140,0.112,0.000
7.140,0.140,0.000
7.255,0.171,0.000
7.159,0.197,0.000
7.246,0.228,0.000
7.157,0.253,0.000
7.334,0.288,0.000
7.211,0.312,0.000
7.308,0.345,0.000
7.208,0.368,0.000
7.211,0.397,0.000
7.213,0.425,0.000
7.203,0.453,0.000
7.198,0.481,0.000
7.196,0.509,0.000
7.210,0.539,0.000
7.188,0.566,0.000
7.189,0.594,0.000
7.211,0.625,0.000
7.192,0.651,0.000
7.241,0.684,0.000
7.242,0.713,0.000
7.235,0.741,0.000
7.228,0.769,0.000
7.325,0.809,0.000
7.222,0.826,0.000
7.330,0.868,0.000
7.215,0.883,0.000
7.361,0.930,0.000
7.212,0.940,0.000
7.308,0.982,0.000
7.208,0.997,0.000
7.193,1.024,0.000
7.196,1.053,0.000
7.235,1.088,0.000
7.261,1.121,0.000
7.218,1.143,0.000
7.221,1.173,0.000
7.228,1.203,0.000
7.220,1.231,0.000
7.218,1.260,0.000
7.175,1.281,0.000
7.208,1.316,0.000
7.289,1.361,0.000
7.198,1.373,0.000
7.241,1.411,0.000
7.236,1.439,0.000
7.234,1.468,0.000
7.313,1.514,0.000
7.218,1.524,0.000
7.304,1.573,0.000
7.294,1.600,0.000
7.207,1.611,0.000
7.241,1.649,0.000
7.253,1.681,0.000
7.232,1.706,0.000
7.229,1.735,0.000
7.218,1.763,0.000
7.204,1.789,0.000
7.240,1.829,0.000
7.201,1.849,0.000
7.325,1.911,0.000
7.247,1.921,0.000
7.313,1.970,0.000
7.221,1.975,0.000
7.294,2.026,0.000
7.205,2.032,0.000
7.285,2.085,0.000
7.193,2.090,0.000
7.275,2.145,0.000
7.311,2.186,0.000
7.217,2.189,0.000
7.280,2.240,0.000
7.322,2.284,0.000
7.183,2.272,0.000
7.263,2.329,0.000
7.162,2.327,0.000
7.245,2.386,0.000
7.198,2.402,0.000
7.185,2.429,0.000
7.179,2.458,0.000
7.243,2.512,0.000
7.163,2.515,0.000
7.153,2.544,0.000
7.136,2.569,0.000
7.126,2.597,0.000
7.169,2.645,0.000
7.234,2.701,0.000
7.158,2.705,0.000
7.216,2.759,0.000
7.110,2.751,0.000
7.194,2.816,0.000
7.131,2.823,0.000
7.143,2.861,0.000
7.128,2.887,0.000
7.117,2.915,0.000
7.179,2.973,0.000
7.094,2.971,0.000
7.123,3.016,0.000
7.102,3.040,0.000
7.096,3.071,0.000
7.087,3.100,0.000
7.072,3.127,0.000
7.146,3.193,0.000
7.100,3.206,0.000
7.084,3.232,0.000
7.081,3.264,0.000
7.056,3.286,0.000
7.055,3.320,0.000
7.090,3.371,0.000
7.041,3.381,0.000
7.137,3.462,0.000
7.047,3.452,0.000
7.110,3.518,0.000
7.011,3.503,0.000
7.120,3.592,0.000
7.027,3.581,0.000
7.088,3.647,0.000
7.002,3.637,0.000
6.988,3.665,0.000
7.095,3.757,0.000
6.999,3.741,0.000
7.052,3.805,0.000
6.958,3.790,0.000
7.027,3.863,0.000
6.981,3.874,0.000
7.032,3.938,0.000
7.025,3.970,0.000
6.932,3.954,0.000
6.991,4.024,0.000
6.940,4.031,0.000
6.991,4.097,0.000
6.905,4.084,0.000
6.953,4.149,0.000
6.908,4.159,0.000
6.902,4.192,0.000
6.885,4.219,0.000
6.866,4.245,0.000
6.852,4.273,0.000
6.928,4.359,0.000
6.847,4.345,0.000
6.822,4.367,0.000
6.815,4.400,0.000
6.828,4.447,0.000
6.813,4.476,0.000
6.788,4.497,0.000
6.835,4.567,0.000
6.780,4.569,0.000
6.833,4.644,0.000
6.759,4.632,0.000
6.832,4.722,0.000
6.759,4.711,0.000
6.797,4.777,0.000
6.717,4.760,0.000
6.750,4.824,0.000
6.766,4.876,0.000
6.696,4.865,0.000
6.730,4.930,0.000
6.749,4.985,0.000
6.677,4.973,0.000
6.651,4.994,0.000
6.665,5.046,0.000
6.646,5.072,0.000
6.652,5.118,0.000
6.639,5.150,0.000
6.612,5.170,0.000
6.603,5.205,0.000
6.602,5.247,0.000
6.568,5.262,0.000
6.588,5.321,0.000
6.622,5.391,0.000
6.602,5.418,0.000
6.527,5.400,0.000
6.558,5.468,0.000
6.513,5.475,0.000
6.494,5.502,0.000
6.499,5.551,0.000
6.481,5.579,0.000
6.455,5.601,0.000
6.433,5.627,0.000
6.439,5.676,0.000
6.412,5.698,0.000
6.417,5.748,0.000
6.404,5.782,0.000
6.376,5.801,0.000
6.383,5.854,0.000
6.409,5.924,0.000
6.345,5.911,0.000
6.385,5.996,0.000
6.311,5.973,0.000
6.349,6.057,0.000
6.293,6.050,0.000
6.312,6.116,0.000
6.267,6.121,0.000
6.291,6.193,0.000
6.248,6.199,0.000
6.261,6.261,0.000
6.260,6.309,0.000
6.233,6.332,0.000
6.197,6.345,0.000
6.165,6.362,0.000
6.140,6.386,0.000
6.138,6.434,0.000
6.155,6.503,0.000
6.099,6.494,0.000
6.124,6.573,0.000
6.059,6.554,0.000
6.090,6.641,0.000
6.067,6.668,0.000
6.021,6.670,0.000
6.037,6.740,0.000
5.991,6.742,0.000
5.968,6.769,0.000
5.946,6.798,0.000
5.967,6.876,0.000
5.911,6.866,0.000
5.960,6.978,0.000
5.899,6.963,0.000
5.868,6.981,0.000
5.864,7.032,0.000
5.832,7.050,0.000
5.823,7.096,0.000
5.825,7.155,0.000
5.785,7.163,0.000
5.775,7.208,0.000
5.759,7.247,0.000
5.759,7.305,0.000
5.751,7.355,0.000
5.717,7.371,0.000
5.703,7.412,0.000
5.671,7.431,0.000
5.661,7.479,0.000
5.675,7.558,0.000
5.634,7.565,0.000
5.620,7.609,0.000
5.592,7.634,0.000
5.562,7.656,0.000
5.548,7.699,0.000
5.544,7.758,0.000
5.502,7.764,0.000
5.497,7.822,0.000
5.439,7.804,0.000
5.408,7.825,0.000
5.380,7.850,0.000
5.373,7.906,0.000
5.311,7.881,0.000
5.310,7.948,0.000
5.242,7.913,0.000
5.209,7.930,0.000
5.177,7.949,0.000
5.155,7.983,0.000
5.106,7.977,0.000
5.070,7.989,0.000
5.040,8.012,0.000
5.032,8.068,0.000
4.999,8.086,0.000
4.959,8.093,0.000
4.937,8.128,0.000
4.853,8.061,0.000
4.822,8.080,0.000
4.813,8.139,0.000
4.758,8.118,0.000
4.740,8.160,0.000
4.687,8.143,0.000
4.647,8.148,0.000
4.604,8.145,0.000
4.571,8.162,0.000
4.537,8.176,0.000
4.533,8.245,0.000
4.461,8.190,0.000
4.457,8.260,0.000
4.394,8.221,0.000
4.364,8.242,0.000
4.318,8.234,0.000
