X,Y,Z
# Scan parameters: Height: 100mm, Layer height: 0.50mm
# Data points below:
6.723,0.000,0.000
6.545,0.026,0.000
6.481,0.051,0.000
6.504,0.077,0.000
6.520,0.102,0.000
6.512,0.128,0.000
6.833,0.161,0.000
6.478,0.178,0.000
6.502,0.204,0.000
6.461,0.228,0.000
6.500,0.255,0.000
6.828,0.295,0.000
6.775,0.320,0.000
6.536,0.334,0.000
6.495,0.357,0.000
6.486,0.382,0.000
6.821,0.429,0.000
6.482,0.433,0.000
6.465,0.458,0.000
6.526,0.488,0.000
6.493,0.511,0.000
6.522,0.539,0.000
6.473,0.561,0.000
6.486,0.587,0.000
6.476,0.612,0.000
6.481,0.638,0.000
6.471,0.663,0.000
6.468,0.688,0.000
6.786,0.749,0.000
6.415,0.734,0.000
6.452,0.764,0.000
6.465,0.791,0.000
6.446,0.814,0.000
6.458,0.842,0.000
6.447,0.866,0.000
6.770,0.936,0.000
6.432,0.915,0.000
6.444,0.943,0.000
6.440,0.968,0.000
6.413,0.990,0.000
6.409,1.015,0.000
6.413,1.042,0.000
6.409,1.067,0.000
6.412,1.093,0.000
6.416,1.120,0.000
6.443,1.151,0.000
6.391,1.167,0.000
6.355,1.186,0.000
6.706,1.279,0.000
6.385,1.244,0.000
6.703,1.333,0.000
6.359,1.291,0.000
6.370,1.319,0.000
6.372,1.346,0.000
6.359,1.369,0.000
6.669,1.463,0.000
6.348,1.419,0.000
6.343,1.444,0.000
6.352,1.472,0.000
6.323,1.492,0.000
6.325,1.519,0.000
6.311,1.541,0.000
6.290,1.562,0.000
6.307,1.593,0.000
6.620,1.700,0.000
6.294,1.642,0.000
6.288,1.667,0.000
6.281,1.692,0.000
6.274,1.716,0.000
6.578,1.827,0.000
6.261,1.766,0.000
6.246,1.788,0.000
6.239,1.813,0.000
6.239,1.839,0.000
6.217,1.859,0.000
6.217,1.886,0.000
6.217,1.913,0.000
6.518,2.033,0.000
6.524,2.063,0.000
6.202,1.988,0.000
6.430,2.089,0.000
6.171,2.032,0.000
6.170,2.059,0.000
6.162,2.083,0.000
6.147,2.104,0.000
6.138,2.129,0.000
6.137,2.155,0.000
6.151,2.187,0.000
6.120,2.203,0.000
6.422,2.340,0.000
6.110,2.254,0.000
6.086,2.273,0.000
6.085,2.299,0.000
6.061,2.317,0.000
6.067,2.347,0.000
6.057,2.371,0.000
6.055,2.398,0.000
6.039,2.418,0.000
6.029,2.442,0.000
6.019,2.466,0.000
6.010,2.489,0.000
6.000,2.513,0.000
5.983,2.533,0.000
6.201,2.655,0.000
5.970,2.583,0.000
5.945,2.600,0.000
5.957,2.633,0.000
6.227,2.782,0.000
5.921,2.674,0.000
5.925,2.703,0.000
5.900,2.720,0.000
5.897,2.746,0.000
5.878,2.766,0.000
5.882,2.796,0.000
5.864,2.816,0.000
5.845,2.835,0.000
5.841,2.862,0.000
5.823,2.881,0.000
5.819,2.908,0.000
5.829,2.941,0.000
5.796,2.953,0.000
5.756,2.961,0.000
5.765,2.995,0.000
5.775,3.029,0.000
5.727,3.033,0.000
5.751,3.074,0.000
5.718,3.085,0.000
5.740,3.127,0.000
5.700,3.134,0.000
5.688,3.156,0.000
5.703,3.194,0.000
5.663,3.201,0.000
5.643,3.219,0.000
5.679,3.269,0.000
5.639,3.275,0.000
5.605,3.285,0.000
5.902,3.490,0.000
5.586,3.333,0.000
5.593,3.367,0.000
5.573,3.385,0.000
5.533,3.390,0.000
5.533,3.421,0.000
5.533,3.451,0.000
5.499,3.460,0.000
5.485,3.481,0.000
5.738,3.673,0.000
5.458,3.524,0.000
5.451,3.550,0.000
5.423,3.562,0.000
5.443,3.606,0.000
5.677,3.793,0.000
5.388,3.631,0.000
5.360,3.643,0.000
5.366,3.677,0.000
5.623,3.886,0.000
5.323,3.710,0.000
5.322,3.740,0.000
5.301,3.757,0.000
5.531,3.952,0.000
5.303,3.821,0.000
5.236,3.805,0.000
5.241,3.839,0.000
5.245,3.874,0.000
5.428,4.042,0.000
5.189,3.896,0.000
5.186,3.926,0.000
5.165,3.941,0.000
5.136,3.952,0.000
5.108,3.962,0.000
5.118,4.002,0.000
5.108,4.027,0.000
5.080,4.037,0.000
5.077,4.067,0.000
5.054,4.082,0.000
5.272,4.292,0.000
5.022,4.122,0.000
5.012,4.146,0.000
5.002,4.171,0.000
4.973,4.180,0.000
5.158,4.370,0.000
4.940,4.219,0.000
4.905,4.223,0.000
5.129,4.450,0.000
4.896,4.283,0.000
4.867,4.291,0.000
4.850,4.310,0.000
4.839,4.335,0.000
4.822,4.354,0.000
4.805,4.372,0.000
4.999,4.585,0.000
4.771,4.410,0.000
4.759,4.434,0.000
4.736,4.447,0.000
4.707,4.455,0.000
4.718,4.501,0.000
4.916,4.727,0.000
4.642,4.499,0.000
4.642,4.534,0.000
4.630,4.558,0.000
4.841,4.803,0.000
4.822,4.822,0.000
4.559,4.595,0.000
4.563,4.636,0.000
4.506,4.613,0.000
4.527,4.671,0.000
4.503,4.683,0.000
4.473,4.689,0.000
4.466,4.718,0.000
4.664,4.966,0.000
4.407,4.730,0.000
4.399,4.759,0.000
4.482,4.887,0.000
4.372,4.805,0.000
4.343,4.810,0.000
4.340,4.845,0.000
4.310,4.850,0.000
4.291,4.867,0.000
4.261,4.872,0.000
4.253,4.901,0.000
4.260,4.948,0.000
4.214,4.934,0.000
4.200,4.957,0.000
4.180,4.973,0.000
4.156,4.983,0.000
4.110,4.969,0.000
4.096,4.991,0.000
4.097,5.032,0.000
4.087,5.061,0.000
4.067,5.077,0.000
4.042,5.086,0.000
4.022,5.102,0.000
4.007,5.124,0.000
3.972,5.121,0.000
3.967,5.155,0.000
3.946,5.171,0.000
3.931,5.193,0.000
3.901,5.195,0.000
3.890,5.224,0.000
3.865,5.232,0.000
4.026,5.496,0.000
3.837,5.282,0.000
3.803,5.277,0.000
3.782,5.292,0.000
3.789,5.346,0.000
3.736,5.315,0.000
3.724,5.343,0.000
3.698,5.351,0.000
3.664,5.346,0.000
3.670,5.400,0.000
3.657,5.427,0.000
3.614,5.409,0.000
3.584,5.409,0.000
3.584,5.457,0.000
3.559,5.464,0.000
3.533,5.471,0.000
3.524,5.505,0.000
3.481,5.485,0.000
3.460,5.499,0.000
3.438,5.513,0.000
3.446,5.573,0.000
3.399,5.546,0.000
3.410,5.614,0.000
3.404,5.654,0.000
3.362,5.634,0.000
3.340,5.647,0.000
3.305,5.639,0.000
3.287,5.659,0.000
3.457,6.005,0.000
3.404,5.969,0.000
3.228,5.711,0.000
