X,Y,Z
# Scan parameters: Height: 100mm, Layer height: 0.50mm
# Data points below:
6.631,0.000,0.000
6.738,0.026,0.000
6.738,0.053,0.000
6.684,0.079,0.000
6.676,0.105,0.000
6.653,0.131,0.000
6.675,0.157,0.000
6.667,0.183,0.000
6.666,0.209,0.000
6.688,0.236,0.000
6.664,0.262,0.000
6.694,0.289,0.000
6.805,0.321,0.000
6.676,0.341,0.000
6.659,0.366,0.000
6.666,0.393,0.000
6.656,0.419,0.000
6.662,0.445,0.000
6.825,0.483,0.000
6.659,0.498,0.000
6.710,0.528,0.000
6.662,0.551,0.000
6.645,0.575,0.000
6.814,0.617,0.000
6.640,0.628,0.000
6.637,0.654,0.000
6.642,0.681,0.000
6.632,0.706,0.000
6.629,0.732,0.000
6.634,0.759,0.000
6.623,0.784,0.000
6.688,0.818,0.000
6.640,0.839,0.000
6.636,0.865,0.000
6.640,0.892,0.000
6.607,0.914,0.000
6.610,0.941,0.000
6.599,0.966,0.000
6.693,1.006,0.000
6.599,1.019,0.000
6.655,1.054,0.000
6.658,1.081,0.000
6.541,1.089,0.000
6.590,1.123,0.000
6.593,1.151,0.000
6.807,1.216,0.000
6.643,1.213,0.000
6.609,1.234,0.000
6.559,1.251,0.000
6.621,1.290,0.000
6.579,1.309,0.000
6.777,1.376,0.000
6.598,1.366,0.000
6.555,1.384,0.000
6.696,1.442,0.000
6.697,1.469,0.000
6.576,1.470,0.000
6.599,1.502,0.000
6.579,1.525,0.000
6.558,1.547,0.000
6.724,1.614,0.000
6.689,1.634,0.000
6.546,1.626,0.000
6.533,1.650,0.000
6.541,1.679,0.000
6.527,1.703,0.000
6.677,1.770,0.000
6.656,1.793,0.000
6.506,1.780,0.000
6.499,1.805,0.000
6.499,1.833,0.000
6.478,1.854,0.000
6.478,1.882,0.000
6.485,1.912,0.000
6.463,1.933,0.000
6.448,1.956,0.000
6.447,1.983,0.000
6.594,2.057,0.000
6.431,2.034,0.000
6.416,2.057,0.000
6.401,2.080,0.000
6.393,2.105,0.000
6.406,2.137,0.000
6.390,2.160,0.000
6.389,2.187,0.000
6.366,2.208,0.000
6.531,2.294,0.000
6.348,2.257,0.000
6.347,2.285,0.000
6.331,2.307,0.000
6.314,2.329,0.000
6.312,2.357,0.000
6.317,2.387,0.000
6.452,2.467,0.000
6.284,2.431,0.000
6.281,2.459,0.000
6.265,2.480,0.000
6.262,2.508,0.000
6.259,2.535,0.000
6.399,2.621,0.000
6.232,2.581,0.000
6.215,2.603,0.000
6.212,2.630,0.000
6.166,2.640,0.000
6.184,2.676,0.000
6.166,2.697,0.000
6.142,2.715,0.000
6.179,2.761,0.000
6.148,2.776,0.000
6.284,2.867,0.000
6.126,2.824,0.000
6.115,2.848,0.000
6.097,2.869,0.000
6.085,2.893,0.000
6.087,2.923,0.000
6.209,3.011,0.000
6.051,2.964,0.000
6.039,2.988,0.000
6.034,3.015,0.000
6.036,3.046,0.000
6.004,3.059,0.000
6.129,3.154,0.000
5.979,3.106,0.000
5.967,3.129,0.000
5.935,3.142,0.000
5.949,3.180,0.000
5.930,3.200,0.000
6.054,3.297,0.000
5.904,3.246,0.000
5.898,3.273,0.000
5.905,3.307,0.000
5.839,3.300,0.000
5.872,3.350,0.000
5.826,3.354,0.000
5.826,3.384,0.000
5.813,3.407,0.000
5.800,3.430,0.000
5.944,3.547,0.000
5.785,3.483,0.000
5.752,3.494,0.000
5.751,3.524,0.000
5.731,3.543,0.000
5.704,3.558,0.000
5.710,3.592,0.000
5.689,3.610,0.000
5.706,3.653,0.000
5.667,3.659,0.000
5.646,3.677,0.000
5.625,3.695,0.000
5.623,3.726,0.000
5.755,3.846,0.000
5.594,3.770,0.000
5.579,3.791,0.000
5.564,3.813,0.000
5.568,3.848,0.000
5.540,3.861,0.000
5.657,3.976,0.000
5.504,3.900,0.000
5.488,3.922,0.000
5.604,4.038,0.000
5.594,4.064,0.000
5.442,3.986,0.000
5.426,4.008,0.000
5.410,4.029,0.000
5.388,4.046,0.000
5.384,4.076,0.000
5.474,4.178,0.000
5.352,4.118,0.000
5.318,4.125,0.000
5.314,4.155,0.000
5.303,4.181,0.000
5.281,4.197,0.000
5.264,4.218,0.000
5.242,4.233,0.000
5.213,4.244,0.000
5.214,4.279,0.000
5.328,4.408,0.000
5.181,4.320,0.000
5.158,4.336,0.000
5.135,4.351,0.000
5.118,4.371,0.000
5.240,4.511,0.000
5.217,4.527,0.000
5.072,4.436,0.000
5.065,4.466,0.000
5.169,4.593,0.000
5.019,4.495,0.000
5.013,4.525,0.000
4.995,4.545,0.000
4.971,4.559,0.000
4.948,4.574,0.000
4.946,4.608,0.000
4.917,4.618,0.000
4.899,4.637,0.000
4.881,4.656,0.000
4.857,4.670,0.000
4.839,4.689,0.000
4.947,4.832,0.000
4.928,4.851,0.000
4.783,4.746,0.000
4.775,4.775,0.000
4.751,4.788,0.000
4.737,4.812,0.000
4.708,4.820,0.000
4.694,4.844,0.000
4.757,4.948,0.000
4.651,4.875,0.000
4.642,4.905,0.000
4.618,4.917,0.000
4.593,4.930,0.000
4.579,4.953,0.000
4.600,5.015,0.000
4.540,4.989,0.000
4.520,5.007,0.000
4.475,4.996,0.000
4.476,5.037,0.000
4.461,5.060,0.000
4.446,5.083,0.000
4.527,5.217,0.000
4.406,5.118,0.000
4.381,5.129,0.000
4.356,5.141,0.000
4.340,5.164,0.000
4.315,5.175,0.000
4.300,5.197,0.000
4.284,5.220,0.000
4.259,5.231,0.000
4.238,5.248,0.000
4.213,5.258,0.000
4.202,5.287,0.000
4.171,5.291,0.000
4.174,5.337,0.000
4.139,5.336,0.000
4.109,5.340,0.000
4.092,5.362,0.000
4.076,5.384,0.000
4.152,5.530,0.000
4.134,5.552,0.000
4.008,5.426,0.000
4.065,5.549,0.000
4.077,5.612,0.000
4.063,5.639,0.000
3.922,5.488,0.000
3.913,5.522,0.000
3.879,5.519,0.000
3.853,5.528,0.000
3.848,5.568,0.000
3.809,5.558,0.000
3.791,5.579,0.000
3.740,5.550,0.000
3.714,5.558,0.000
3.692,5.573,0.000
3.662,5.574,0.000
3.644,5.595,0.000
3.618,5.603,0.000
3.600,5.624,0.000
3.582,5.644,0.000
3.560,5.658,0.000
3.537,5.672,0.000
3.523,5.699,0.000
3.579,5.840,0.000
3.470,5.713,0.000
3.452,5.733,0.000
3.414,5.721,0.000
3.399,5.747,0.000
3.372,5.754,0.000
3.448,5.935,0.000
3.413,5.930,0.000
3.304,5.793,0.000
3.370,5.963,0.000
