X,Y,Z
# Scan parameters: Height: 100cm, Layer height: 0.50cm
# Data points below:
6.216,0.000,0.000
6.403,0.025,0.000
6.720,0.053,0.000
6.333,0.075,0.000
6.327,0.099,0.000
6.307,0.124,0.000
6.649,0.157,0.000
6.316,0.174,0.000
6.652,0.209,0.000
6.309,0.223,0.000
6.353,0.250,0.000
6.342,0.274,0.000
6.321,0.298,0.000
6.656,0.340,0.000
6.519,0.359,0.000
6.626,0.391,0.000
6.642,0.418,0.000
6.309,0.422,0.000
6.630,0.469,0.000
6.325,0.473,0.000
6.304,0.496,0.000
6.619,0.547,0.000
6.339,0.549,0.000
6.307,0.571,0.000
6.290,0.595,0.000
6.252,0.616,0.000
6.290,0.644,0.000
6.278,0.668,0.000
6.280,0.693,0.000
6.247,0.715,0.000
6.264,0.741,0.000
6.231,0.762,0.000
6.308,0.797,0.000
6.563,0.855,0.000
6.262,0.841,0.000
6.268,0.867,0.000
6.265,0.892,0.000
6.256,0.916,0.000
6.253,0.940,0.000
6.244,0.964,0.000
6.230,0.987,0.000
6.216,1.010,0.000
6.222,1.036,0.000
6.218,1.060,0.000
6.224,1.086,0.000
6.205,1.108,0.000
6.255,1.142,0.000
6.181,1.154,0.000
6.304,1.203,0.000
6.221,1.212,0.000
6.500,1.293,0.000
6.162,1.251,0.000
6.535,1.353,0.000
6.211,1.312,0.000
6.186,1.332,0.000
6.487,1.423,0.000
6.292,1.406,0.000
6.170,1.405,0.000
6.443,1.493,0.000
6.469,1.526,0.000
6.445,1.547,0.000
6.143,1.500,0.000
6.450,1.602,0.000
6.453,1.630,0.000
6.144,1.577,0.000
6.118,1.597,0.000
6.107,1.619,0.000
6.101,1.643,0.000
6.089,1.666,0.000
6.088,1.691,0.000
6.076,1.714,0.000
6.040,1.729,0.000
6.062,1.761,0.000
6.070,1.789,0.000
6.048,1.809,0.000
6.373,1.933,0.000
6.029,1.855,0.000
6.055,1.889,0.000
6.337,2.004,0.000
6.026,1.932,0.000
6.294,2.045,0.000
6.030,1.985,0.000
6.318,2.108,0.000
6.310,2.133,0.000
5.996,2.053,0.000
6.271,2.174,0.000
5.980,2.100,0.000
5.953,2.117,0.000
6.266,2.256,0.000
5.960,2.172,0.000
5.928,2.187,0.000
5.919,2.210,0.000
5.915,2.235,0.000
5.920,2.264,0.000
5.897,2.281,0.000
5.874,2.299,0.000
5.827,2.307,0.000
5.861,2.347,0.000
5.851,2.370,0.000
5.837,2.391,0.000
5.809,2.406,0.000
5.832,2.443,0.000
5.790,2.452,0.000
5.804,2.484,0.000
5.798,2.509,0.000
6.094,2.665,0.000
6.096,2.695,0.000
5.996,2.679,0.000
6.066,2.739,0.000
5.789,2.641,0.000
6.044,2.786,0.000
5.741,2.674,0.000
5.984,2.816,0.000
5.791,2.753,0.000
5.673,2.724,0.000
6.038,2.929,0.000
5.745,2.815,0.000
5.936,2.937,0.000
6.015,3.006,0.000
5.690,2.871,0.000
5.661,2.884,0.000
5.693,2.929,0.000
5.655,2.938,0.000
5.790,3.037,0.000
5.654,2.994,0.000
5.634,3.011,0.000
5.617,3.031,0.000
5.601,3.051,0.000
5.602,3.080,0.000
5.560,3.085,0.000
5.573,3.121,0.000
5.570,3.148,0.000
5.562,3.172,0.000
5.820,3.350,0.000
5.545,3.221,0.000
5.817,3.409,0.000
5.536,3.274,0.000
5.763,3.439,0.000
5.776,3.478,0.000
5.493,3.337,0.000
5.726,3.509,0.000
5.731,3.543,0.000
5.709,3.561,0.000
5.676,3.571,0.000
5.666,3.596,0.000
5.380,3.444,0.000
5.375,3.470,0.000
5.600,3.647,0.000
5.293,3.477,0.000
5.474,3.627,0.000
5.538,3.700,0.000
5.210,3.511,0.000
5.364,3.645,0.000
5.212,3.572,0.000
5.475,3.784,0.000
5.192,3.618,0.000
5.169,3.633,0.000
5.155,3.653,0.000
5.124,3.662,0.000
5.404,3.894,0.000
5.128,3.725,0.000
5.161,3.781,0.000
5.082,3.754,0.000
5.338,3.975,0.000
5.330,4.002,0.000
5.303,4.014,0.000
5.287,4.035,0.000
5.019,3.862,0.000
5.181,4.019,0.000
4.993,3.904,0.000
5.216,4.112,0.000
5.221,4.150,0.000
4.950,3.966,0.000
5.145,4.155,0.000
4.919,4.005,0.000
4.880,4.005,0.000
5.125,4.239,0.000
4.868,4.059,0.000
4.844,4.072,0.000
5.102,4.323,0.000
4.816,4.113,0.000
4.792,4.125,0.000
4.776,4.144,0.000
5.010,4.382,0.000
4.735,4.175,0.000
4.734,4.207,0.000
4.706,4.215,0.000
4.892,4.416,0.000
4.677,4.256,0.000
4.902,4.495,0.000
4.911,4.540,0.000
4.832,4.502,0.000
4.858,4.562,0.000
4.603,4.357,0.000
4.816,4.594,0.000
4.558,4.382,0.000
4.773,4.625,0.000
4.549,4.443,0.000
4.573,4.502,0.000
4.721,4.684,0.000
4.464,4.464,0.000
4.681,4.718,0.000
4.590,4.663,0.000
4.631,4.741,0.000
4.344,4.482,0.000
4.587,4.771,0.000
4.305,4.513,0.000
4.298,4.541,0.000
4.612,4.912,0.000
4.258,4.571,0.000
4.268,4.617,0.000
4.247,4.630,0.000
4.442,4.881,0.000
4.207,4.660,0.000
4.434,4.951,0.000
4.150,4.670,0.000
4.131,4.686,0.000
4.136,4.729,0.000
4.310,4.967,0.000
4.122,4.788,0.000
4.047,4.739,0.000
4.266,5.035,0.000
4.023,4.786,0.000
4.245,5.090,0.000
4.231,5.114,0.000
3.970,4.837,0.000
3.928,4.825,0.000
3.899,4.828,0.000
3.916,4.887,0.000
4.100,5.159,0.000
3.915,4.966,0.000
4.063,5.195,0.000
3.835,4.944,0.000
3.806,4.947,0.000
3.781,4.954,0.000
3.969,5.243,0.000
3.797,5.056,0.000
3.931,5.278,0.000
3.739,5.062,0.000
3.816,5.208,0.000
3.934,5.414,0.000
3.825,5.308,0.000
3.832,5.362,0.000
3.609,5.093,0.000
3.787,5.388,0.000
3.589,5.150,0.000
3.546,5.131,0.000
3.529,5.149,0.000
3.511,5.167,0.000
3.491,5.181,0.000
3.456,5.173,0.000
3.637,5.490,0.000
3.424,5.213,0.000
3.599,5.526,0.000
3.386,5.244,0.000
3.368,5.261,0.000
3.356,5.288,0.000
3.504,5.570,0.000
3.327,5.335,0.000
3.465,5.606,0.000
3.259,5.318,0.000
3.240,5.335,0.000
3.385,5.622,0.000
3.198,5.360,0.000
3.374,5.705,0.000
3.146,5.367,0.000
3.310,5.699,0.000
3.119,5.419,0.000
3.088,5.413,0.000
3.069,5.430,0.000
3.047,5.442,0.000
3.195,5.759,0.000
3.022,5.497,0.000
3.154,5.792,0.000
3.116,5.775,0.000
3.104,5.808,0.000
3.084,5.824,0.000
2.904,5.537,0.000
2.877,5.539,0.000
2.863,5.564,0.000
2.834,5.562,0.000
2.828,5.605,0.000
2.946,5.895,0.000
2.906,5.873,0.000
2.916,5.952,0.000
2.729,5.625,0.000
2.853,5.941,0.000
2.682,5.642,0.000
2.671,5.676,0.000
2.646,5.681,0.000
2.618,5.678,0.000
