X,Y,Z
# Scan parameters: Height: 100cm, Layer height: 0.50cm
# Data points below:
3.374,5.654,0.000
3.348,5.660,0.000
3.072,5.241,0.000
3.056,5.261,0.000
3.026,5.257,0.000
3.014,5.284,0.000
3.002,5.312,0.000
2.977,5.316,0.000
3.243,5.845,0.000
2.931,5.331,0.000
3.127,5.740,0.000
2.893,5.362,0.000
2.859,5.350,0.000
3.081,5.819,0.000
2.838,5.411,0.000
2.813,5.414,0.000
2.799,5.441,0.000
2.766,5.428,0.000
2.745,5.439,0.000
2.719,5.442,0.000
2.694,5.445,0.000
2.672,5.455,0.000
2.655,5.474,0.000
2.637,5.492,0.000
2.612,5.494,0.000
2.598,5.521,0.000
2.569,5.515,0.000
2.547,5.525,0.000
2.551,5.591,0.000
2.716,6.015,0.000
2.485,5.562,0.000
2.649,5.993,0.000
2.438,5.574,0.000
2.416,5.583,0.000
2.373,5.543,0.000
2.358,5.569,0.000
2.333,5.570,0.000
2.325,5.612,0.000
2.534,6.186,0.000
2.291,5.655,0.000
2.445,6.105,0.000
2.253,5.689,0.000
2.256,5.763,0.000
2.381,6.155,0.000
2.354,6.157,0.000
2.163,5.724,0.000
2.116,5.666,0.000
2.279,6.177,0.000
2.080,5.707,0.000
2.061,5.724,0.000
2.035,5.724,0.000
2.013,5.732,0.000
1.993,5.748,0.000
1.973,5.764,0.000
1.942,5.746,0.000
2.056,6.163,0.000
2.057,6.246,0.000
1.885,5.803,0.000
1.841,5.742,0.000
1.988,6.285,0.000
1.822,5.841,0.000
1.794,5.832,0.000
1.911,6.301,0.000
1.884,6.300,0.000
1.853,6.285,0.000
1.700,5.851,0.000
1.677,5.857,0.000
1.787,6.337,0.000
1.633,5.879,0.000
1.735,6.343,0.000
1.587,5.891,0.000
1.559,5.880,0.000
1.664,6.378,0.000
1.513,5.892,0.000
1.603,6.345,0.000
1.469,5.913,0.000
1.445,5.918,0.000
1.449,6.034,0.000
1.401,5.938,0.000
1.372,5.918,0.000
1.454,6.389,0.000
1.329,5.946,0.000
1.304,5.942,0.000
1.282,5.956,0.000
1.259,5.961,0.000
1.234,5.957,0.000
1.216,5.988,0.000
1.189,5.975,0.000
1.262,6.478,0.000
1.143,5.993,0.000
1.116,5.980,0.000
1.181,6.469,0.000
1.063,5.954,0.000
1.046,5.993,0.000
1.103,6.467,0.000
1.084,6.510,0.000
0.975,6.005,0.000
1.029,6.495,0.000
0.928,6.012,0.000
0.904,6.016,0.000
0.956,6.530,0.000
0.855,6.005,0.000
0.909,6.568,0.000
0.875,6.518,0.000
0.787,6.041,0.000
0.765,6.053,0.000
0.782,6.393,0.000
0.775,6.546,0.000
0.689,6.026,0.000
0.668,6.047,0.000
0.647,6.076,0.000
0.618,6.034,0.000
0.643,6.529,0.000
0.573,6.065,0.000
0.592,6.542,0.000
0.527,6.087,0.000
0.502,6.072,0.000
0.518,6.579,0.000
0.455,6.093,0.000
0.430,6.068,0.000
0.439,6.562,0.000
0.383,6.080,0.000
0.358,6.073,0.000
0.335,6.083,0.000
0.310,6.076,0.000
0.287,6.077,0.000
0.263,6.078,0.000
0.239,6.088,0.000
0.215,6.089,0.000
0.207,6.581,0.000
0.168,6.125,0.000
0.156,6.621,0.000
0.120,6.100,0.000
0.103,6.575,0.000
0.072,6.110,0.000
0.048,6.110,0.000
0.026,6.584,0.000
-0.000,6.066,0.000
-0.024,6.084,0.000
-0.048,6.066,0.000
-0.072,6.074,0.000
-0.096,6.092,0.000
-0.119,6.056,0.000
-0.143,6.073,0.000
-0.181,6.589,0.000
-0.191,6.089,0.000
-0.215,6.089,0.000
-0.259,6.587,0.000
-0.263,6.096,0.000
-0.309,6.545,0.000
-0.312,6.111,0.000
-0.335,6.092,0.000
-0.388,6.580,0.000
-0.382,6.072,0.000
-0.439,6.562,0.000
-0.431,6.086,0.000
-0.453,6.058,0.000
-0.477,6.065,0.000
-0.500,6.054,0.000
-0.559,6.449,0.000
-0.550,6.068,0.000
-0.573,6.057,0.000
-0.602,6.116,0.000
-0.620,6.052,0.000
-0.643,6.041,0.000
-0.667,6.038,0.000
-0.691,6.044,0.000
-0.717,6.059,0.000
-0.800,6.543,0.000
-0.765,6.053,0.000
-0.786,6.033,0.000
-0.811,6.038,0.000
-0.834,6.026,0.000
-0.857,6.023,0.000
-0.881,6.019,0.000
-0.900,5.990,0.000
-0.928,6.012,0.000
-0.952,6.009,0.000
-0.975,6.005,0.000
-0.999,6.001,0.000
-1.022,5.997,0.000
-1.044,5.984,0.000
-1.068,5.980,0.000
-1.093,5.985,0.000
-1.120,5.998,0.000
-1.137,5.958,0.000
-1.250,6.416,0.000
-1.283,6.450,0.000
-1.210,5.962,0.000
-1.234,5.957,0.000
-1.263,5.978,0.000
-1.280,5.947,0.000
-1.300,5.925,0.000
-1.327,5.937,0.000
-1.372,6.026,0.000
-1.372,5.918,0.000
-1.471,6.236,0.000
-1.418,5.907,0.000
-1.443,5.910,0.000
-1.464,5.896,0.000
-1.488,5.890,0.000
-1.513,5.892,0.000
-1.536,5.886,0.000
-1.559,5.880,0.000
-1.573,5.840,0.000
-1.596,5.834,0.000
-1.626,5.853,0.000
-1.649,5.847,0.000
-1.674,5.849,0.000
-1.695,5.833,0.000
-1.720,5.835,0.000
-1.741,5.820,0.000
-1.766,5.822,0.000
-1.791,5.823,0.000
-1.822,5.841,0.000
-1.834,5.800,0.000
-2.010,6.270,0.000
-1.885,5.803,0.000
-1.903,5.778,0.000
-2.066,6.193,0.000
-1.951,5.772,0.000
-1.962,5.730,0.000
-1.990,5.739,0.000
-2.019,5.748,0.000
-2.203,6.196,0.000
-2.067,5.741,0.000
-2.083,5.716,0.000
-2.106,5.708,0.000
-2.131,5.708,0.000
-2.150,5.691,0.000
-2.173,5.682,0.000
