X,Y,Z
# Scan parameters: Height: 20cm, Layer height: 0.50cm
# Data points below:
0.697,1.168,0.000
0.816,1.380,0.000
0.693,1.182,0.000
0.683,1.177,0.000
0.805,1.398,0.000
0.674,1.182,0.000
0.725,1.283,0.000
0.660,1.179,0.000
0.660,1.190,0.000
0.803,1.461,0.000
0.651,1.195,0.000
0.664,1.231,0.000
0.641,1.200,0.000
0.637,1.203,0.000
0.732,1.396,0.000
0.645,1.241,0.000
0.627,1.218,0.000
0.618,1.212,0.000
0.613,1.215,0.000
0.621,1.243,0.000
0.711,1.437,0.000
0.603,1.230,0.000
0.696,1.434,0.000
0.694,1.445,0.000
0.584,1.229,0.000
0.583,1.240,0.000
0.700,1.503,0.000
0.566,1.227,0.000
0.666,1.459,0.000
0.564,1.249,0.000
0.555,1.242,0.000
0.652,1.475,0.000
0.572,1.307,0.000
0.544,1.258,0.000
0.656,1.533,0.000
0.531,1.253,0.000
0.529,1.264,0.000
0.528,1.275,0.000
0.552,1.347,0.000
0.602,1.486,0.000
0.456,1.138,0.000
0.556,1.405,0.000
0.631,1.612,0.000
0.501,1.296,0.000
0.615,1.608,0.000
0.514,1.361,0.000
0.532,1.424,0.000
0.517,1.400,0.000
0.514,1.411,0.000
0.580,1.611,0.000
0.462,1.300,0.000
0.570,1.624,0.000
0.489,1.410,0.000
0.499,1.456,0.000
0.475,1.405,0.000
0.590,1.769,0.000
0.541,1.644,0.000
0.464,1.428,0.000
0.528,1.648,0.000
0.453,1.432,0.000
0.515,1.652,0.000
0.433,1.409,0.000
0.447,1.473,0.000
0.430,1.439,0.000
0.487,1.651,0.000
0.416,1.433,0.000
0.411,1.435,0.000
0.408,1.445,0.000
0.404,1.456,0.000
0.391,1.431,0.000
0.388,1.441,0.000
0.397,1.497,0.000
0.379,1.453,0.000
0.433,1.685,0.000
0.365,1.447,0.000
0.415,1.671,0.000
0.354,1.450,0.000
0.348,1.451,0.000
0.345,1.462,0.000
0.337,1.454,0.000
0.331,1.455,0.000
0.324,1.447,0.000
0.324,1.476,0.000
0.314,1.459,0.000
0.411,1.944,0.000
0.305,1.471,0.000
0.297,1.463,0.000
0.336,1.689,0.000
0.305,1.565,0.000
0.278,1.457,0.000
0.313,1.675,0.000
0.270,1.477,0.000
0.304,1.704,0.000
0.260,1.489,0.000
0.254,1.490,0.000
0.245,1.472,0.000
0.245,1.510,0.000
0.236,1.493,0.000
0.260,1.684,0.000
0.223,1.485,0.000
0.249,1.704,0.000
0.210,1.478,0.000
0.233,1.688,0.000
0.199,1.479,0.000
0.196,1.508,0.000
0.217,1.717,0.000
0.184,1.500,0.000
0.203,1.719,0.000
0.225,1.965,0.000
0.176,1.594,0.000
0.160,1.503,0.000
0.179,1.749,0.000
0.145,1.476,0.000
0.140,1.486,0.000
0.155,1.715,0.000
0.130,1.506,0.000
0.134,1.625,0.000
0.136,1.734,0.000
0.111,1.488,0.000
0.106,1.498,0.000
0.114,1.709,0.000
0.102,1.619,0.000
0.087,1.481,0.000
0.101,1.826,0.000
0.079,1.546,0.000
0.071,1.500,0.000
0.074,1.702,0.000
0.059,1.491,0.000
0.058,1.630,0.000
0.050,1.594,0.000
0.047,1.703,0.000
0.037,1.566,0.000
0.032,1.622,0.000
0.028,1.775,0.000
0.019,1.585,0.000
0.013,1.631,0.000
0.007,1.856,0.000
-0.000,1.740,0.000
-0.007,1.767,0.000
-0.013,1.622,0.000
-0.019,1.603,0.000
-0.029,1.847,0.000
-0.032,1.631,0.000
-0.038,1.631,0.000
-0.045,1.621,0.000
-0.052,1.658,0.000
-0.057,1.621,0.000
-0.073,1.863,0.000
-0.070,1.611,0.000
-0.076,1.620,0.000
-0.095,1.853,0.000
-0.090,1.638,0.000
-0.095,1.619,0.000
-0.116,1.843,0.000
-0.109,1.627,0.000
-0.115,1.618,0.000
-0.120,1.608,0.000
-0.143,1.815,0.000
-0.134,1.625,0.000
-0.140,1.616,0.000
-0.167,1.839,0.000
-0.174,1.839,0.000
-0.159,1.614,0.000
-0.164,1.604,0.000
-0.172,1.613,0.000
-0.178,1.612,0.000
-0.194,1.693,0.000
-0.191,1.611,0.000
-0.226,1.851,0.000
-0.231,1.832,0.000
-0.227,1.743,0.000
-0.248,1.848,0.000
-0.270,1.951,0.000
-0.226,1.588,0.000
-0.251,1.713,0.000
-0.241,1.604,0.000
-0.254,1.648,0.000
-0.265,1.674,0.000
-0.279,1.717,0.000
-0.265,1.591,0.000
-0.295,1.733,0.000
-0.339,1.940,0.000
-0.292,1.633,0.000
-0.317,1.738,0.000
-0.309,1.657,0.000
-0.358,1.875,0.000
-0.310,1.592,0.000
-0.341,1.715,0.000
-0.350,1.723,0.000
-0.396,1.912,0.000
-0.407,1.927,0.000
-0.349,1.621,0.000
-0.379,1.726,0.000
-0.422,1.888,0.000
-0.439,1.929,0.000
-0.397,1.712,0.000
-0.399,1.693,0.000
-0.458,1.907,0.000
-0.415,1.699,0.000
-0.430,1.732,0.000
-0.426,1.687,0.000
-0.424,1.650,0.000
-0.499,1.914,0.000
-0.420,1.585,0.000
-0.452,1.680,0.000
-0.520,1.900,0.000
-0.463,1.668,0.000
-0.475,1.683,0.000
-0.486,1.698,0.000
-0.490,1.688,0.000
-0.494,1.677,0.000
-0.504,1.684,0.000
-0.510,1.682,0.000
-0.553,1.799,0.000
-0.510,1.635,0.000
-0.527,1.667,0.000
-0.604,1.884,0.000
-0.611,1.881,0.000
-0.538,1.635,0.000
-0.548,1.642,0.000
-0.560,1.657,0.000
-0.566,1.654,0.000
-0.573,1.652,0.000
-0.582,1.658,0.000
-0.683,1.921,0.000
-0.670,1.861,0.000
-0.605,1.660,0.000
-0.611,1.657,0.000
-0.615,1.647,0.000
-0.699,1.851,0.000
-0.612,1.600,0.000
-0.631,1.631,0.000
-0.644,1.645,0.000
-0.725,1.831,0.000
-0.653,1.632,0.000
-0.653,1.612,0.000
-0.753,1.839,0.000
-0.757,1.828,0.000
-0.662,1.580,0.000
-0.685,1.619,0.000
-0.692,1.616,0.000
-0.687,1.588,0.000
-0.694,1.586,0.000
-0.828,1.872,0.000
-0.735,1.646,0.000
-0.720,1.594,0.000
-0.785,1.720,0.000
-0.792,1.717,0.000
-0.795,1.706,0.000
-0.798,1.695,0.000
-0.875,1.841,0.000
-0.815,1.697,0.000
-0.920,1.896,0.000
-0.931,1.900,0.000
-0.835,1.687,0.000
-0.845,1.691,0.000
-0.949,1.881,0.000
-0.854,1.677,0.000
-0.861,1.674,0.000
-0.864,1.662,0.000
-0.874,1.667,0.000
-0.839,1.585,0.000
-0.900,1.683,0.000
-0.894,1.656,0.000
-0.992,1.820,0.000
-0.915,1.665,0.000
-1.152,2.076,0.000
-0.920,1.642,0.000
-0.926,1.638,0.000
-0.932,1.635,0.000
-0.930,1.616,0.000
-0.945,1.627,0.000
-0.947,1.616,0.000
-1.073,1.814,0.000
-1.075,1.802,0.000
-0.966,1.605,0.000
-1.094,1.801,0.000
-0.983,1.605,0.000
-0.994,1.608,0.000
-1.120,1.795,0.000
-1.118,1.776,0.000
-0.999,1.574,0.000
-1.136,1.775,0.000
-1.021,1.581,0.000
-1.027,1.577,0.000
-1.043,1.588,0.000
-1.015,1.532,0.000
-1.161,1.738,0.000
-1.022,1.517,0.000
-1.063,1.564,0.000
-1.074,1.567,0.000
-1.070,1.548,0.000
-1.291,1.853,0.000
-1.127,1.604,0.000
-1.159,1.635,0.000
-1.099,1.538,0.000
-1.291,1.792,0.000
-1.173,1.614,0.000
-1.200,1.638,0.000
-1.186,1.605,0.000
-1.192,1.600,0.000
-1.172,1.561,0.000
-1.189,1.570,0.000
-1.216,1.593,0.000
-1.352,1.757,0.000
-1.223,1.577,0.000
-1.371,1.753,0.000
-1.367,1.734,0.000
-1.236,1.555,0.000
-1.259,1.571,0.000
-1.254,1.552,0.000
-1.265,1.554,0.000
-1.266,1.543,0.000
-1.278,1.544,0.000
-1.284,1.539,0.000
-1.506,1.792,0.000
-1.513,1.786,0.000
-1.352,1.583,0.000
-1.533,1.780,0.000
-1.392,1.604,0.000
-1.393,1.592,0.000
-1.543,1.750,0.000
-1.405,1.581,0.000
-1.417,1.582,0.000
-1.423,1.577,0.000
-1.581,1.738,0.000
-1.654,1.803,0.000
-1.442,1.560,0.000
-1.459,1.566,0.000
-1.614,1.718,0.000
-1.564,1.652,0.000
-1.559,1.634,0.000
-1.478,1.537,0.000
-1.566,1.616,0.000
-1.566,1.604,0.000
-1.567,1.592,0.000
-1.729,1.743,0.000
-1.591,1.591,0.000
-1.591,1.579,0.000
-1.609,1.584,0.000
-1.762,1.721,0.000
-1.610,1.560,0.000
-1.816,1.746,0.000
-1.622,1.547,0.000
-1.634,1.547,0.000
-1.790,1.680,0.000
-1.646,1.534,0.000
-1.646,1.522,0.000
-1.658,1.521,0.000
-1.664,1.514,0.000
-1.816,1.640,0.000
-1.676,1.501,0.000
-1.805,1.604,0.000
-1.799,1.586,0.000
-1.656,1.448,0.000
-1.668,1.447,0.000
-1.873,1.612,0.000
-1.679,1.434,0.000
-1.685,1.428,0.000
-1.690,1.421,0.000
-1.677,1.398,0.000
-1.727,1.429,0.000
-1.714,1.406,0.000
-1.706,1.389,0.000
-1.751,1.414,0.000
-1.723,1.381,0.000
-1.729,1.374,0.000
-1.909,1.505,0.000
-1.733,1.355,0.000
-1.745,1.354,0.000
-1.770,1.362,0.000
-1.932,1.475,0.000
-1.754,1.328,0.000
-1.773,1.331,0.000
-1.988,1.481,0.000
-1.949,1.439,0.000
-1.775,1.300,0.000
-1.773,1.288,0.000
-1.979,1.426,0.000
-1.742,1.245,0.000
-1.802,1.277,0.000
-1.793,1.260,0.000
-1.812,1.263,0.000
-1.817,1.256,0.000
-1.992,1.365,0.000
-1.833,1.246,0.000
-2.036,1.372,0.000
-2.014,1.346,0.000
-1.841,1.220,0.000
-1.895,1.244,0.000
-1.886,1.228,0.000
-1.883,1.216,0.000
-1.895,1.213,0.000
-2.080,1.320,0.000
-1.905,1.198,0.000
-1.902,1.186,0.000
-2.081,1.287,0.000
-1.919,1.176,0.000
-1.923,1.168,0.000
-2.069,1.245,0.000
-2.101,1.254,0.000
-1.937,1.145,0.000
-1.927,1.129,0.000
-2.130,1.237,0.000
-2.135,1.229,0.000
-1.947,1.111,0.000
-1.959,1.107,0.000
-1.963,1.099,0.000
-1.960,1.088,0.000
-1.965,1.080,0.000
-1.961,1.068,0.000
-1.980,1.068,0.000
-2.172,1.161,0.000
-2.155,1.141,0.000
-1.985,1.041,0.000
-2.092,1.087,0.000
-2.161,1.112,0.000
-1.975,1.006,0.000
-2.009,1.014,0.000
-2.020,1.009,0.000
-2.009,0.994,0.000
-2.006,0.983,0.000
-2.010,0.975,0.000
-2.043,0.981,0.000
-2.025,0.962,0.000
-2.229,1.049,0.000
-2.032,0.947,0.000
-2.043,0.942,0.000
-2.070,0.944,0.000
-2.252,1.017,0.000
-2.227,0.995,0.000
-2.043,0.903,0.000
-2.054,0.898,0.000
-2.253,0.975,0.000
-2.069,0.886,0.000
-2.072,0.877,0.000
-2.037,0.853,0.000
-2.290,0.949,0.000
-1.997,0.818,0.000
-2.070,0.838,0.000
-2.097,0.840,0.000
-2.290,0.907,0.000
-2.056,0.805,0.000
-2.244,0.868,0.000
-2.055,0.786,0.000
-2.128,0.804,0.000
-2.077,0.775,0.000
-2.265,0.836,0.000
-2.067,0.753,0.000
-2.302,0.829,0.000
-2.381,0.847,0.000
-2.076,0.729,0.000
